Time,min,max,mean
2010-07-30,54.3,65.8,57.45833333333336
2010-07-31,54.7,66.6,58.75944055944058
2010-08-01,54.7,68.4,58.87777777777775
2010-08-02,54.1,65.7,57.53819444444444
2010-08-03,46.09114244396259,71.8,54.29355938855957
2010-08-04,46.09114244396259,62.2,54.29355938855957
2010-08-05,52.9,62.4,56.112230215827346
2010-08-06,53.4,67.8,57.727972027971994
2010-08-07,54.1,69.8,58.593055555555566
2010-08-08,55.8,64.4,58.73680555555557
2010-08-09,54.7,66.2,58.70279720279719
2010-08-10,54.1,65.8,57.4768115942029
2010-08-11,54.3,62.6,57.73819444444442
2010-08-12,54.1,56.3,54.894117647058806
2010-08-13,57.7,62.8,59.57333333333334
2010-08-14,46.09114244396237,63.81500361532906,54.293559388559714
2010-08-15,46.09114244396237,63.81500361532906,54.293559388559714
2010-08-16,46.09114244396237,63.81500361532906,54.293559388559714
2010-08-17,56.7,69.3,62.98736842105258
2010-08-18,56.3,70.5,61.89650349650346
2010-08-19,55.8,72.7,60.44125874125871
2010-08-20,54.9,65.7,58.60139860139864
2010-08-21,54.9,63.0,58.174305555555534
2010-08-22,54.9,73.2,62.090845070422546
2010-08-23,57.2,90.1,70.48958333333333
2010-08-24,62.6,97.9,77.88541666666667
2010-08-25,60.4,78.6,69.60138888888888
2010-08-26,56.8,63.7,59.97361111111112
2010-08-27,55.6,63.7,59.018181818181844
2010-08-28,54.5,66.6,58.733333333333334
2010-08-29,54.9,70.2,59.01249999999997
2010-08-30,53.1,67.5,59.29440559440561
2010-08-31,57.0,76.8,63.25972222222223
2010-09-01,57.0,88.3,71.15555555555555
2010-09-02,59.2,83.1,70.09861111111114
2010-09-03,55.8,72.0,60.672727272727236
2010-09-04,54.5,67.5,58.028472222222234
2010-09-05,53.8,75.0,62.01748251748252
2010-09-06,55.0,82.9,66.13333333333334
2010-09-07,55.9,62.8,58.765972222222246
2010-09-08,56.8,64.9,59.69366197183097
2010-09-09,54.7,72.0,59.7583333333333
2010-09-10,54.9,77.9,63.00833333333331
2010-09-11,54.3,79.7,62.624475524475535
2010-09-12,53.8,64.4,58.07222222222218
2010-09-13,55.0,65.5,57.14565217391306
2010-09-14,54.5,65.7,58.31319444444442
2010-09-15,54.3,59.5,56.590163934426265
2010-09-16,57.0,69.3,61.563194444444434
2010-09-17,59.7,66.9,63.02916666666665
2010-09-18,61.5,72.5,65.63356643356647
2010-09-19,60.1,71.4,64.31408450704222
2010-09-20,57.2,70.7,62.57847222222223
2010-09-21,57.4,65.8,60.35140845070426
2010-09-22,56.7,65.7,60.72156862745101
2010-09-23,55.0,75.0,61.981818181818205
2010-09-24,56.3,81.9,66.68124999999999
2010-09-25,60.4,86.2,69.83750000000006
2010-09-26,55.9,82.6,66.36165413533833
2010-09-27,58.3,87.4,71.18521126760565
2010-09-28,65.1,90.7,74.20277777777777
2010-09-29,58.1,73.9,65.11666666666667
2010-09-30,55.4,66.7,60.04236111111108
2010-10-01,57.0,65.1,60.4301470588235
2010-10-02,56.3,66.0,58.64930555555554
2010-10-03,56.8,63.9,59.03450704225353
2010-10-04,55.6,66.6,59.634027777777774
2010-10-05,54.7,68.9,59.99444444444444
2010-10-06,56.5,70.2,60.76597222222222
2010-10-07,55.9,67.6,60.629861111111126
2010-10-08,54.3,72.9,60.53194444444446
2010-10-09,54.7,72.5,61.508955223880605
2010-10-10,57.2,72.3,65.15445544554458
2010-10-11,57.7,78.6,66.73490566037735
2010-10-12,63.1,74.8,67.75416666666665
2010-10-13,61.9,83.1,69.91999999999997
2010-10-14,61.2,83.1,68.01736111111114
2010-10-15,57.0,67.5,61.17777777777778
2010-10-16,54.1,61.0,56.873611111111124
2010-10-17,54.3,56.3,55.03356643356637
2010-10-18,52.7,61.3,56.15555555555556
2010-10-19,51.4,69.3,55.65984848484851
2010-10-20,52.5,62.6,56.568548387096776
2010-10-21,57.4,66.6,60.38790322580639
2010-10-22,54.9,61.7,58.29440559440558
2010-10-23,54.9,63.5,58.88897058823529
2010-10-24,57.9,65.1,61.76944444444445
2010-10-25,55.0,62.8,57.90491803278689
2010-10-26,51.8,65.3,56.83968253968251
2010-10-27,49.6,64.9,57.379166666666684
2010-10-28,54.5,69.4,61.97816901408449
2010-10-29,54.7,63.5,58.41418439716313
2010-10-30,54.0,62.2,57.783098591549276
2010-10-31,54.0,65.5,58.97986111111111
2010-11-01,55.4,68.4,60.40289855072465
2010-11-02,56.1,71.8,62.54652777777782
2010-11-03,59.2,69.1,62.76617647058823
2010-11-04,61.2,77.2,68.36197183098591
2010-11-05,56.1,64.9,59.63402777777779
2010-11-06,55.9,65.5,60.127927927927885
2010-11-07,53.4,59.7,57.75347222222221
2010-11-08,51.1,60.6,54.7090909090909
2010-11-09,48.2,60.1,51.87692307692308
2010-11-10,46.09114244396237,63.81500361532906,54.293559388559714
